mouse_id,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7
8226,-2964.745455895132,34449.404001474155,-149.92912080761198,-4460.405853362132,-14182.645718430495,34423.943720360156,-2953.567168528458
8227,-2914.5522575733153,34216.09153838354,-39.51048049524502,-4412.906955020304,-13161.532039436832,34189.397259411984,-2903.636168899591
8228,-2834.7990432803113,31606.656077922486,-50.585047280651565,-4007.811975508372,-11377.25414440712,31578.52247128437,-2824.422293517461
8229,-2866.3640559747664,34061.24481558648,-64.46761184129502,-4324.868615911957,-14083.836331747792,34034.818719641014,-2855.564071796592
8445,-2527.2244169867286,38985.01470736948,-239.32894256294583,-5268.506897140034,-16248.344572023792,38958.4943347368,-2515.8270638329936
8447,-2951.007801040951,37252.67299597055,-23.311849387666598,-5632.548525312233,-15322.088540824758,37225.1409813887,-2939.2482316925334
8448,-2432.9476064274086,37315.3928426814,-67.9256736069575,-5252.8262955276405,-13703.99103636519,37288.59295186203,-2421.9214607066733
8449,-2745.8334288879014,38443.83888286072,-119.0837842276519,-5427.478510078066,-15458.538878436717,38416.72000123332,-2734.2837617145324
8718,-3988.050799097381,27777.189004348475,-711.2726565586806,-2717.958026003076,-12587.566408325947,27752.04342666913,-3976.490895571802
8719,-3466.247371351416,24752.803873682882,-405.8254498398662,-2802.1740842018608,-9010.681617627793,24729.150587806907,-3455.901466941118
8720,-4247.425842339527,26567.030753659004,-540.4429371616765,-3277.077732840953,-10252.825699862668,26541.67542702927,-4235.954389798175
8722,-2523.4848728478514,24234.81969762715,878.8903451983265,-5194.196355273303,-7406.849616211045,24212.91908970468,-2512.0286788514813
9314,48.37195077511569,32127.925305225035,-64.38989260820676,-3903.959354798916,-12898.808851569149,32106.801234098508,55.470160165262655
9315,-128.789321060362,32936.84707043934,-164.57724426799837,-4159.125970638946,-12526.825059523853,32915.63263213591,-121.26310499282204
9316,47.933518536964584,32247.716668662062,-202.48403133617853,-3954.7666949074605,-12166.883587286644,32226.26477933292,55.00026036722943
9317,4.185554877311006,33882.89946717868,-132.79074679289693,-4238.231180599473,-12678.027202519805,33861.46966985482,11.72874932065497
9333,-616.8894328074759,32029.605255004877,29.385845717399206,-3610.474240086752,-12242.753941211948,32005.673357866297,-608.8447901953937
9334,-502.5946939398684,32383.7881534273,-22.833835909129903,-3534.4372524687224,-11456.418259434024,32358.743401437383,-494.6725508104098
9335,-451.79509941501124,31971.000090937487,-75.90280807539352,-3334.8981854524336,-11308.916578580005,31944.641744834324,-444.07271239540546
9336,-480.2041757267548,31547.78731474275,-17.06571227514928,-3392.4399920111464,-11117.641037133155,31523.438241903306,-472.5514609960137
9755,-2549.9669201421775,34949.39319023202,163.8599734500699,-5040.460277863012,-12946.432939258453,34920.70894648438,-2539.2875184130944
9756,-2215.1809617009176,36626.665302133864,-139.9400895570475,-4633.971557647817,-13687.161967508664,36596.69388387083,-2204.7586936649263
9757,-2095.3869149150787,36236.350550685915,-156.97378173503694,-4400.226465093943,-13844.25030822409,36205.55728234601,-2085.110206805515
9758,-1894.0088256784543,37184.357636489745,-243.0581435876968,-4367.487282813581,-14989.287273496759,37154.02021485031,-1883.693245664983
9909,-2963.1016287392204,35076.85780626952,-59.0334825014869,-4412.133682727224,-14010.772263337438,35048.8737203146,-2952.4499625985136
9910,-3055.7857377174482,34956.55065801762,-8.803318936187793,-4452.524011641322,-13602.595644101631,34927.9145978131,-3045.1751730276787
9911,-3026.043693391546,35054.58630855584,-145.3801072160029,-4147.427972006455,-13875.817861862106,35026.899407774545,-3015.594249294728
9912,-3166.8844698166445,34149.33651359827,163.89783091744425,-4812.318721785283,-13372.400331716228,34121.523167708045,-3155.98191664416
